IP Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.221.48.0,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.1,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.2,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.3,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.4,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.5,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.6,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.7,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.8,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.9,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.10,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.11,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.12,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.13,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.14,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.15,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.16,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.17,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.18,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.19,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.20,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.21,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.22,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.23,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.24,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.25,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.26,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.27,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.28,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.29,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.30,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.31,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.32,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.33,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.34,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.35,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.36,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.37,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.38,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.39,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.40,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.41,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.42,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.43,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.44,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.45,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.46,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.47,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.48,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.49,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.50,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.51,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.52,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.53,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.54,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.55,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.56,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.57,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.58,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.59,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.60,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.61,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.62,US-CA,10.221.48.0,26,255.255.255.192
10.221.48.63,US-CA,10.221.48.0,26,255.255.255.192
